━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
   🟡 보류         35      24,740   약세강세    F        23,001      28,217    2.0          80     🟡 보류        46.1  삼성액티브 KoAct 코리아밸류업액티브증권상장지수투자신탁[주식] (495230.KS)
   🟡 보류         35      32,490   약세강세    F        30,266      36,938    2.0          61     🟡 보류        46.1  삼성 KODEX 성장주증권상장지수투자신탁[주식형] (325010.KS)
   🟡 보류         35      24,185   약세강세    F        22,630      27,295    2.0          82     🟡 보류        46.1  KB RISE Fn수소경제테마증권상장지수투자신탁(주식) (367770.KS)
   🟡 보류         35      49,705     횡보      F        49,667      49,781    2.0          40     🟡 보류        45.4  신한 SOL 27-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권] (0092C0.KS)
   🟡 보류         35      29,545   약세강세    F        27,442      33,751    2.0          67     🟡 보류        45.0  미래에셋 TIGER 코리아TOP10증권상장지수투자신탁(주식) (292150.KS)
   🟡 보류         35      59,085   약세강세    F        54,636      67,982    2.0          33     🟡 보류        45.0  삼성 KODEX Top5Plus Total Return증권상장지수투자신탁[주식형] (315930.KS)
   🟡 보류         35       6,130   약세추세    F         5,786       6,819    2.0         326     🟡 보류        44.2  진에어 (272450.KS)
   🟡 보류         35      81,400   고변동성    F        74,545      95,110    2.0          24     🟡 보류        43.9  두산로보틱스 (454910.KS)
   🟡 보류         30       1,800   약세강세    A         1,553       2,293    2.0         810     🟡 보류        60.4  삼성 KODEX 2차전지산업레버리지증권상장지수투자신탁[주식-파생형] (462330.KS)
   🟡 보류         30     105,270   강세추세    A       105,245     105,319    2.0          18     🟡 보류        59.0  KB RISE KOFR금리액티브증권상장지수투자신탁(채권혼합-파생형)(합성) (479520.KS)
